GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.core.room.persistence,Room,77,61,11,7,2,9,15,6,6,6
ticket-service,com.epam.training.ticketservice.core.screening,ScreeningServiceImp,79,0,2,0,20,0,6,0,5,0
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto.Builder,28,0,0,0,8,0,5,0,5,0
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto,157,0,28,0,8,0,22,0,8,0
ticket-service,com.epam.training.ticketservice.core.user,UserDto,0,15,0,0,0,6,0,3,0,3
ticket-service,com.epam.training.ticketservice.core.user,UserServiceImpl,0,61,0,2,0,14,0,6,0,5
ticket-service,com.epam.training.ticketservice.core.user.persistence,User.Role,0,24,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user.persistence,User,119,88,27,11,1,10,26,7,7,7
ticket-service,com.epam.training.ticketservice.core.movie.persistence,Movie,92,75,21,9,2,9,21,6,6,6
ticket-service,com.epam.training.ticketservice.ui.commands,UserCommands,118,0,18,0,27,0,16,0,7,0
ticket-service,com.epam.training.ticketservice.ui.commands,MovieCommands,113,0,10,0,25,0,12,0,7,0
ticket-service,com.epam.training.ticketservice.ui.commands,ScreeningCommands,301,0,32,0,66,0,23,0,7,0
ticket-service,com.epam.training.ticketservice.ui.commands,RoomCommands,113,0,10,0,26,0,12,0,7,0
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto,60,58,10,6,1,5,10,6,2,6
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto.Builder,0,28,0,0,0,8,0,5,0,5
ticket-service,com.epam.training.ticketservice.core.movie,MovieServiceImp,48,55,2,0,12,13,3,5,2,5
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.room,RoomServiceImp,48,53,2,0,12,13,3,5,2,5
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto,47,55,9,5,9,11,9,6,2,6
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto.Builder,0,28,0,0,0,8,0,5,0,5
ticket-service,com.epam.training.ticketservice.core.configuration,InMemoryDatabaseInitializer,25,0,0,0,4,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.configuration,ApplicationConfiguration,3,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.ui.configuration,Prompt,11,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.screening.persistence,Screening,87,0,10,0,19,0,18,0,13,0
